Начало
BATCH_SIZE: 8, LR: 0.0005, CLIP None
Скорость обучения изменена. LR = 0.000031

Epoch: [71][80/97]	Batch Time 1.020 (2.366)	Data Time 0.160 (1.623)	Loss 2.5625 (2.4003)	
Epoch: [71][90/97]	Batch Time 0.808 (2.332)	Data Time 0.000 (1.581)	Loss 2.3657 (2.3898)	
Epoch: [72][0/97]	Batch Time 25.521 (25.521)	Data Time 24.739 (24.739)	Loss 2.3539 (2.3539)	
Epoch: [72][10/97]	Batch Time 0.745 (4.414)	Data Time 0.001 (3.651)	Loss 2.2487 (2.3554)	
Epoch: [72][20/97]	Batch Time 0.742 (2.985)	Data Time 0.001 (2.225)	Loss 2.5009 (2.2988)	
Epoch: [72][30/97]	Batch Time 2.559 (2.570)	Data Time 1.817 (1.814)	Loss 1.9643 (2.2721)	
Epoch: [72][40/97]	Batch Time 17.326 (2.835)	Data Time 16.637 (2.071)	Loss 2.5001 (2.2875)	
Epoch: [72][50/97]	Batch Time 0.670 (2.645)	Data Time 0.001 (1.898)	Loss 2.2895 (2.3054)	
Epoch: [72][60/97]	Batch Time 1.113 (2.405)	Data Time 0.445 (1.670)	Loss 2.2426 (2.3107)	
Epoch: [72][70/97]	Batch Time 0.676 (2.374)	Data Time 0.000 (1.648)	Loss 2.1706 (2.3378)	
Epoch: [72][80/97]	Batch Time 0.674 (2.342)	Data Time 0.001 (1.621)	Loss 2.1940 (2.3409)	
Epoch: [72][90/97]	Batch Time 0.665 (2.335)	Data Time 0.000 (1.619)	Loss 1.7844 (2.3393)	
Epoch: [73][0/97]	Batch Time 24.268 (24.268)	Data Time 23.349 (23.349)	Loss 2.3742 (2.3742)	
Epoch: [73][10/97]	Batch Time 0.668 (3.837)	Data Time 0.000 (3.143)	Loss 1.9992 (2.3033)	
Epoch: [73][20/97]	Batch Time 3.623 (2.927)	Data Time 2.951 (2.242)	Loss 2.2084 (2.2858)	
Epoch: [73][30/97]	Batch Time 0.671 (2.477)	Data Time 0.000 (1.791)	Loss 2.3930 (2.2837)	
Epoch: [73][40/97]	Batch Time 0.671 (2.301)	Data Time 0.000 (1.620)	Loss 2.4416 (2.3497)	
Epoch: [73][50/97]	Batch Time 0.673 (2.284)	Data Time 0.001 (1.605)	Loss 2.6599 (2.3652)	
Epoch: [73][60/97]	Batch Time 0.679 (2.163)	Data Time 0.001 (1.484)	Loss 2.3625 (2.3944)	
Epoch: [73][70/97]	Batch Time 0.668 (2.116)	Data Time 0.001 (1.435)	Loss 1.8745 (2.3712)	
Epoch: [73][80/97]	Batch Time 0.692 (2.110)	Data Time 0.001 (1.430)	Loss 2.2210 (2.3586)	
Epoch: [73][90/97]	Batch Time 0.667 (2.035)	Data Time 0.001 (1.356)	Loss 2.6835 (2.3578)	
Epoch: [74][0/97]	Batch Time 25.127 (25.127)	Data Time 24.449 (24.449)	Loss 1.8640 (1.8640)	
Epoch: [74][10/97]	Batch Time 0.673 (3.675)	Data Time 0.000 (2.990)	Loss 2.2126 (2.2732)	
Epoch: [74][20/97]	Batch Time 13.845 (3.168)	Data Time 13.177 (2.488)	Loss 2.2890 (2.3304)	
Epoch: [74][30/97]	Batch Time 0.772 (2.658)	Data Time 0.000 (1.974)	Loss 2.3294 (2.3283)	
Epoch: [74][40/97]	Batch Time 1.816 (2.501)	Data Time 1.029 (1.790)	Loss 2.2155 (2.3267)	
Epoch: [74][50/97]	Batch Time 0.735 (2.299)	Data Time 0.000 (1.580)	Loss 2.4962 (2.3220)	
Epoch: [74][60/97]	Batch Time 0.753 (2.261)	Data Time 0.001 (1.532)	Loss 1.7554 (2.2808)	
Epoch: [74][70/97]	Batch Time 0.748 (2.197)	Data Time 0.001 (1.463)	Loss 2.3289 (inf)	
Epoch: [74][80/97]	Batch Time 0.741 (2.206)	Data Time 0.000 (1.471)	Loss 2.2018 (inf)	
Epoch: [74][90/97]	Batch Time 0.755 (2.109)	Data Time 0.001 (1.373)	Loss 1.8612 (inf)	
Скорость обучения изменена. LR = 0.000016

Epoch: [75][0/97]	Batch Time 22.739 (22.739)	Data Time 21.998 (21.998)	Loss 2.1874 (2.1874)	
Epoch: [75][10/97]	Batch Time 0.747 (3.907)	Data Time 0.001 (3.144)	Loss 1.7738 (2.1715)	
Epoch: [75][20/97]	Batch Time 0.752 (3.075)	Data Time 0.001 (2.321)	Loss 2.5786 (2.2390)	
Epoch: [75][30/97]	Batch Time 2.769 (2.574)	Data Time 2.036 (1.825)	Loss 2.1347 (2.2416)	
Epoch: [75][40/97]	Batch Time 0.738 (2.489)	Data Time 0.000 (1.737)	Loss 2.6217 (2.2980)	
Epoch: [75][50/97]	Batch Time 0.740 (2.525)	Data Time 0.001 (1.776)	Loss 2.5361 (2.3188)	
Epoch: [75][60/97]	Batch Time 0.743 (2.414)	Data Time 0.000 (1.663)	Loss 2.3114 (2.3313)	
Epoch: [75][70/97]	Batch Time 0.671 (2.310)	Data Time 0.001 (1.567)	Loss 2.3857 (2.3203)	
Epoch: [75][80/97]	Batch Time 4.481 (2.280)	Data Time 3.805 (1.545)	Loss 2.3937 (inf)	
Epoch: [75][90/97]	Batch Time 6.774 (2.245)	Data Time 6.027 (1.515)	Loss 2.3115 (inf)	
Epoch: [76][0/97]	Batch Time 23.341 (23.341)	Data Time 22.664 (22.664)	Loss 2.3058 (2.3058)	
Epoch: [76][10/97]	Batch Time 0.721 (3.774)	Data Time 0.036 (3.093)	Loss 2.3323 (2.4680)	
Epoch: [76][20/97]	Batch Time 0.697 (3.351)	Data Time 0.001 (2.668)	Loss 1.9253 (2.3196)	
Epoch: [76][30/97]	Batch Time 0.686 (2.787)	Data Time 0.001 (2.097)	Loss 2.3520 (2.2791)	
Epoch: [76][40/97]	Batch Time 0.677 (2.625)	Data Time 0.001 (1.936)	Loss 2.1651 (2.2730)	
Epoch: [76][50/97]	Batch Time 9.138 (2.580)	Data Time 8.313 (1.888)	Loss 1.9106 (2.2651)	
Epoch: [76][60/97]	Batch Time 0.697 (2.397)	Data Time 0.001 (1.706)	Loss 1.6773 (inf)	
Epoch: [76][70/97]	Batch Time 4.147 (2.337)	Data Time 3.467 (1.646)	Loss 2.3189 (inf)	
Epoch: [76][80/97]	Batch Time 5.552 (2.245)	Data Time 4.677 (1.551)	Loss 2.5353 (inf)	
Epoch: [76][90/97]	Batch Time 0.693 (2.178)	Data Time 0.000 (1.485)	Loss 1.9116 (inf)	
Epoch: [77][0/97]	Batch Time 38.902 (38.902)	Data Time 38.041 (38.041)	Loss 2.9531 (2.9531)	
Epoch: [77][10/97]	Batch Time 0.692 (4.347)	Data Time 0.000 (3.636)	Loss 2.3111 (2.3613)	
Epoch: [77][20/97]	Batch Time 0.694 (3.200)	Data Time 0.000 (2.501)	Loss 2.2178 (inf)	
Epoch: [77][30/97]	Batch Time 0.688 (2.948)	Data Time 0.000 (2.246)	Loss 1.8685 (inf)	
Epoch: [77][40/97]	Batch Time 0.694 (2.543)	Data Time 0.001 (1.844)	Loss 2.5179 (inf)	
Epoch: [77][50/97]	Batch Time 0.693 (2.494)	Data Time 0.001 (1.793)	Loss 1.8186 (inf)	
Epoch: [77][60/97]	Batch Time 0.691 (2.399)	Data Time 0.001 (1.699)	Loss 2.5777 (inf)	
Epoch: [77][70/97]	Batch Time 2.995 (2.311)	Data Time 2.292 (1.613)	Loss 2.4669 (inf)	
Epoch: [77][80/97]	Batch Time 0.697 (2.192)	Data Time 0.000 (1.493)	Loss 2.2158 (inf)	
Epoch: [77][90/97]	Batch Time 2.151 (2.112)	Data Time 1.458 (1.413)	Loss 2.5020 (inf)	
Epoch: [78][0/97]	Batch Time 20.664 (20.664)	Data Time 19.687 (19.687)	Loss 2.5204 (2.5204)	
Epoch: [78][10/97]	Batch Time 0.698 (3.298)	Data Time 0.001 (2.576)	Loss 2.3959 (2.3126)	
Epoch: [78][20/97]	Batch Time 2.151 (3.002)	Data Time 1.470 (2.297)	Loss 1.7273 (2.3730)	
Epoch: [78][30/97]	Batch Time 0.708 (2.425)	Data Time 0.001 (1.719)	Loss 2.7784 (2.3612)	
Epoch: [78][40/97]	Batch Time 1.545 (2.648)	Data Time 0.849 (1.932)	Loss 1.9305 (2.3649)	
Epoch: [78][50/97]	Batch Time 0.696 (2.411)	Data Time 0.000 (1.695)	Loss 2.0584 (2.3380)	
Epoch: [78][60/97]	Batch Time 4.200 (2.321)	Data Time 3.516 (1.610)	Loss 2.0314 (2.3281)	
Epoch: [78][70/97]	Batch Time 0.667 (2.368)	Data Time 0.000 (1.658)	Loss 2.3693 (2.3036)	
